




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2021-11-16
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Mus musculus - REFLIST (21988)	upload_1 (6765)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
maintenance of protein location in nucleus (GO:0051457)	25	21	7.69	+	2.73	1.30E-03	2.32E-02
rRNA modification (GO:0000154)	31	26	9.54	+	2.73	2.43E-04	5.59E-03
ribosome assembly (GO:0042255)	62	52	19.08	+	2.73	3.21E-07	1.38E-05
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	35	29	10.77	+	2.69	1.54E-04	3.73E-03
histone H4 acetylation (GO:0043967)	58	48	17.84	+	2.69	8.39E-07	3.41E-05
release of cytochrome c from mitochondria (GO:0001836)	23	19	7.08	+	2.68	2.83E-03	4.50E-02
protein peptidyl-prolyl isomerization (GO:0000413)	23	19	7.08	+	2.68	2.83E-03	4.49E-02
cytoplasmic translation (GO:0002181)	69	57	21.23	+	2.68	1.23E-07	5.61E-06
translational elongation (GO:0006414)	34	28	10.46	+	2.68	2.24E-04	5.22E-03
rRNA metabolic process (GO:0016072)	215	177	66.15	+	2.68	3.17E-21	4.10E-19
monoubiquitinated histone H2A deubiquitination (GO:0035522)	28	23	8.61	+	2.67	7.29E-04	1.45E-02
monoubiquitinated histone deubiquitination (GO:0035521)	28	23	8.61	+	2.67	7.29E-04	1.44E-02
aerobic electron transport chain (GO:0019646)	50	41	15.38	+	2.67	8.94E-06	2.96E-04
monoubiquitinated protein deubiquitination (GO:0035520)	33	27	10.15	+	2.66	3.26E-04	7.20E-03
regulation of necroptotic process (GO:0060544)	22	18	6.77	+	2.66	2.57E-03	4.16E-02
ribosome biogenesis (GO:0042254)	285	233	87.69	+	2.66	2.95E-27	5.35E-25
virion assembly (GO:0019068)	27	22	8.31	+	2.65	1.05E-03	1.96E-02
cleavage involved in rRNA processing (GO:0000469)	27	22	8.31	+	2.65	1.05E-03	1.96E-02
aerobic respiration (GO:0009060)	122	99	37.54	+	2.64	4.07E-12	3.07E-10
transcription initiation from RNA polymerase II promoter (GO:0006367)	37	30	11.38	+	2.64	1.30E-04	3.19E-03
maintenance of protein localization in organelle (GO:0072595)	42	34	12.92	+	2.63	5.71E-05	1.56E-03
establishment of protein localization to mitochondrion (GO:0072655)	73	59	22.46	+	2.63	8.43E-08	3.94E-06
ribonucleoprotein complex biogenesis (GO:0022613)	400	323	123.07	+	2.62	1.19E-36	3.29E-34
nuclear membrane organization (GO:0071763)	31	25	9.54	+	2.62	6.94E-04	1.39E-02
regulation of mitochondrial gene expression (GO:0062125)	31	25	9.54	+	2.62	6.94E-04	1.38E-02
mRNA polyadenylation (GO:0006378)	30	24	9.23	+	2.60	1.01E-03	1.91E-02
protein localization to mitochondrion (GO:0070585)	80	64	24.61	+	2.60	3.17E-08	1.56E-06
histone ubiquitination (GO:0016574)	40	32	12.31	+	2.60	1.20E-04	2.98E-03
regulation of programmed necrotic cell death (GO:0062098)	25	20	7.69	+	2.60	2.22E-03	3.68E-02
respiratory electron transport chain (GO:0022904)	84	67	25.84	+	2.59	1.99E-08	1.00E-06
ribonucleoprotein complex assembly (GO:0022618)	167	133	51.38	+	2.59	1.63E-15	1.55E-13
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	107	85	32.92	+	2.58	3.16E-10	1.97E-08
cytochrome complex assembly (GO:0017004)	34	27	10.46	+	2.58	3.83E-04	8.25E-03
ribonucleoprotein complex subunit organization (GO:0071826)	174	138	53.53	+	2.58	6.11E-16	5.90E-14
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	24	19	7.38	+	2.57	3.23E-03	4.99E-02
metallo-sulfur cluster assembly (GO:0031163)	24	19	7.38	+	2.57	3.23E-03	4.99E-02
iron-sulfur cluster assembly (GO:0016226)	24	19	7.38	+	2.57	3.23E-03	4.98E-02
telomere maintenance via telomere lengthening (GO:0010833)	24	19	7.38	+	2.57	3.23E-03	4.98E-02
histone H3 acetylation (GO:0043966)	57	45	17.54	+	2.57	5.45E-06	1.86E-04
protein targeting to mitochondrion (GO:0006626)	56	44	17.23	+	2.55	7.81E-06	2.61E-04
autophagosome maturation (GO:0097352)	37	29	11.38	+	2.55	2.34E-04	5.41E-03
translation (GO:0006412)	320	249	98.45	+	2.53	8.55E-27	1.51E-24
protein quality control for misfolded or incompletely synthesized proteins (GO:0006515)	27	21	8.31	+	2.53	1.89E-03	3.20E-02
histone acetylation (GO:0016573)	112	87	34.46	+	2.52	3.90E-10	2.41E-08
electron transport chain (GO:0022900)	94	73	28.92	+	2.52	1.17E-08	5.97E-07
tRNA aminoacylation for protein translation (GO:0006418)	40	31	12.31	+	2.52	1.99E-04	4.73E-03
RNA polyadenylation (GO:0043631)	31	24	9.54	+	2.52	1.15E-03	2.10E-02
amino acid activation (GO:0043038)	44	34	13.54	+	2.51	8.50E-05	2.24E-03
transcription preinitiation complex assembly (GO:0070897)	26	20	8.00	+	2.50	2.71E-03	4.34E-02
tRNA aminoacylation (GO:0043039)	43	33	13.23	+	2.49	1.20E-04	2.99E-03
histone monoubiquitination (GO:0010390)	30	23	9.23	+	2.49	1.65E-03	2.85E-02
ncRNA processing (GO:0034470)	351	269	107.99	+	2.49	3.80E-28	7.31E-26
cellular respiration (GO:0045333)	154	118	47.38	+	2.49	4.17E-13	3.35E-11
peptidyl-lysine acetylation (GO:0018394)	124	95	38.15	+	2.49	1.10E-10	7.16E-09
protein insertion into membrane (GO:0051205)	51	39	15.69	+	2.49	3.09E-05	9.02E-04
snRNA metabolic process (GO:0016073)	34	26	10.46	+	2.49	6.72E-04	1.35E-02
RNA splicing (GO:0008380)	332	253	102.15	+	2.48	2.70E-26	4.43E-24
spliceosomal complex assembly (GO:0000245)	46	35	14.15	+	2.47	1.03E-04	2.63E-03
mRNA 3'-end processing (GO:0031124)	46	35	14.15	+	2.47	1.03E-04	2.63E-03
internal protein amino acid acetylation (GO:0006475)	121	92	37.23	+	2.47	2.06E-10	1.31E-08
internal peptidyl-lysine acetylation (GO:0018393)	121	92	37.23	+	2.47	2.06E-10	1.30E-08
mRNA splicing, via spliceosome (GO:0000398)	208	158	63.99	+	2.47	1.09E-16	1.10E-14
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	208	158	63.99	+	2.47	1.09E-16	1.09E-14
RNA splicing, via transesterification reactions (GO:0000375)	208	158	63.99	+	2.47	1.09E-16	1.09E-14
mRNA modification (GO:0016556)	29	22	8.92	+	2.47	2.39E-03	3.92E-02
DNA-templated transcription, elongation (GO:0006354)	33	25	10.15	+	2.46	9.56E-04	1.82E-02
tricarboxylic acid cycle (GO:0006099)	33	25	10.15	+	2.46	9.56E-04	1.82E-02
positive regulation of telomere maintenance (GO:0032206)	66	50	20.31	+	2.46	4.44E-06	1.54E-04
peptidyl-lysine trimethylation (GO:0018023)	41	31	12.61	+	2.46	2.41E-04	5.54E-03
autophagosome assembly (GO:0000045)	69	52	21.23	+	2.45	2.47E-06	8.98E-05
regulation of telomere maintenance (GO:0032204)	93	70	28.61	+	2.45	4.37E-08	2.10E-06
negative regulation of mRNA processing (GO:0050686)	32	24	9.85	+	2.44	1.36E-03	2.41E-02
spliceosomal snRNP assembly (GO:0000387)	32	24	9.85	+	2.44	1.36E-03	2.41E-02
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	36	27	11.08	+	2.44	8.42E-04	1.64E-02
organelle disassembly (GO:1903008)	79	59	24.31	+	2.43	5.50E-07	2.31E-05
peptide biosynthetic process (GO:0043043)	341	254	104.91	+	2.42	2.23E-25	3.51E-23
mRNA processing (GO:0006397)	416	309	127.99	+	2.41	1.55E-30	3.35E-28
RNA processing (GO:0006396)	782	579	240.60	+	2.41	7.38E-57	4.15E-54
autophagosome organization (GO:1905037)	77	57	23.69	+	2.41	1.08E-06	4.25E-05
regulation of transcription elongation from RNA polymerase II promoter (GO:0034243)	42	31	12.92	+	2.40	4.28E-04	9.06E-03
macroautophagy (GO:0016236)	145	107	44.61	+	2.40	3.72E-11	2.58E-09
protein acetylation (GO:0006473)	144	106	44.30	+	2.39	3.47E-11	2.45E-09
regulation of DNA-templated transcription, elongation (GO:0032784)	53	39	16.31	+	2.39	6.21E-05	1.69E-03
maintenance of protein location in cell (GO:0032507)	68	50	20.92	+	2.39	5.80E-06	1.97E-04
DNA-templated transcription, initiation (GO:0006352)	64	47	19.69	+	2.39	1.41E-05	4.46E-04
mitochondrial membrane organization (GO:0007006)	105	77	32.31	+	2.38	1.94E-08	9.85E-07
nuclear-transcribed mRNA catabolic process (GO:0000956)	97	71	29.84	+	2.38	7.39E-08	3.49E-06
selective autophagy (GO:0061912)	41	30	12.61	+	2.38	6.11E-04	1.25E-02
mRNA metabolic process (GO:0016071)	570	417	175.37	+	2.38	5.99E-40	1.93E-37
mitochondrial translation (GO:0032543)	52	38	16.00	+	2.38	8.75E-05	2.30E-03
mitochondrial transport (GO:0006839)	150	109	46.15	+	2.36	4.20E-11	2.91E-09
autophagy of mitochondrion (GO:0000422)	47	34	14.46	+	2.35	3.10E-04	6.86E-03
mitochondrion disassembly (GO:0061726)	47	34	14.46	+	2.35	3.10E-04	6.85E-03
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)	36	26	11.08	+	2.35	1.38E-03	2.43E-02
retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)	43	31	13.23	+	2.34	4.87E-04	1.02E-02
protein targeting to ER (GO:0045047)	43	31	13.23	+	2.34	4.87E-04	1.02E-02
ncRNA metabolic process (GO:0034660)	432	311	132.91	+	2.34	4.31E-29	8.82E-27
histone H3-K4 methylation (GO:0051568)	39	28	12.00	+	2.33	1.24E-03	2.25E-02
mRNA catabolic process (GO:0006402)	124	89	38.15	+	2.33	3.11E-09	1.73E-07
ATP biosynthetic process (GO:0006754)	35	25	10.77	+	2.32	1.95E-03	3.28E-02
protein targeting to vacuole (GO:0006623)	35	25	10.77	+	2.32	1.95E-03	3.28E-02
response to amino acid starvation (GO:1990928)	49	35	15.08	+	2.32	2.45E-04	5.61E-03
B cell homeostasis (GO:0001782)	35	25	10.77	+	2.32	1.95E-03	3.27E-02
negative regulation of histone modification (GO:0031057)	52	37	16.00	+	2.31	1.47E-04	3.59E-03
positive regulation of histone methylation (GO:0031062)	58	41	17.84	+	2.30	7.35E-05	1.97E-03
positive regulation of DNA-templated transcription, elongation (GO:0032786)	34	24	10.46	+	2.29	2.77E-03	4.42E-02
histone lysine methylation (GO:0034968)	68	48	20.92	+	2.29	2.24E-05	6.84E-04
regulation of translational initiation (GO:0006446)	61	43	18.77	+	2.29	6.21E-05	1.69E-03
protein localization to endoplasmic reticulum (GO:0070972)	71	50	21.84	+	2.29	1.33E-05	4.29E-04
tRNA metabolic process (GO:0006399)	168	118	51.69	+	2.28	2.34E-11	1.68E-09
establishment of protein localization to endoplasmic reticulum (GO:0072599)	47	33	14.46	+	2.28	4.85E-04	1.02E-02
positive regulation of chromosome organization (GO:2001252)	104	73	32.00	+	2.28	1.65E-07	7.32E-06
protein acylation (GO:0043543)	184	129	56.61	+	2.28	3.68E-12	2.79E-10
RNA methylation (GO:0001510)	70	49	21.54	+	2.28	1.85E-05	5.77E-04
T cell homeostasis (GO:0043029)	40	28	12.31	+	2.28	1.37E-03	2.42E-02
nuclear envelope organization (GO:0006998)	50	35	15.38	+	2.28	2.86E-04	6.41E-03
RNA localization (GO:0006403)	166	116	51.07	+	2.27	4.46E-11	3.07E-09
protein monoubiquitination (GO:0006513)	76	53	23.38	+	2.27	9.33E-06	3.08E-04
translational initiation (GO:0006413)	69	48	21.23	+	2.26	2.58E-05	7.70E-04
mRNA export from nucleus (GO:0006406)	59	41	18.15	+	2.26	1.22E-04	3.02E-03
RNA modification (GO:0009451)	143	99	44.00	+	2.25	1.71E-09	9.92E-08
histone deubiquitination (GO:0016578)	39	27	12.00	+	2.25	1.93E-03	3.26E-02
mRNA destabilization (GO:0061157)	68	47	20.92	+	2.25	3.58E-05	1.03E-03
positive regulation of mRNA catabolic process (GO:0061014)	84	58	25.84	+	2.24	5.74E-06	1.96E-04
cellular response to amino acid starvation (GO:0034198)	45	31	13.85	+	2.24	9.58E-04	1.82E-02
RNA metabolic process (GO:0016070)	1251	861	384.89	+	2.24	6.87E-75	4.71E-72
regulation of telomere maintenance via telomerase (GO:0032210)	48	33	14.77	+	2.23	5.57E-04	1.16E-02
macromolecule deacylation (GO:0098732)	70	48	21.54	+	2.23	4.35E-05	1.21E-03
protein deacylation (GO:0035601)	70	48	21.54	+	2.23	4.35E-05	1.21E-03
regulation of aerobic respiration (GO:1903715)	35	24	10.77	+	2.23	3.22E-03	4.98E-02
histone deacetylation (GO:0016575)	54	37	16.61	+	2.23	2.77E-04	6.23E-03
autophagy (GO:0006914)	257	176	79.07	+	2.23	1.95E-15	1.84E-13
process utilizing autophagic mechanism (GO:0061919)	257	176	79.07	+	2.23	1.95E-15	1.83E-13
peptidyl-lysine modification (GO:0018205)	272	186	83.69	+	2.22	2.99E-16	2.92E-14
regulation of histone H3-K4 methylation (GO:0051569)	41	28	12.61	+	2.22	1.58E-03	2.74E-02
regulation of necrotic cell death (GO:0010939)	41	28	12.61	+	2.22	1.58E-03	2.74E-02
regulation of histone deacetylation (GO:0031063)	44	30	13.54	+	2.22	1.35E-03	2.39E-02
intracellular protein transmembrane transport (GO:0065002)	53	36	16.31	+	2.21	3.85E-04	8.26E-03
mitochondrial gene expression (GO:0140053)	84	57	25.84	+	2.21	8.78E-06	2.91E-04
Golgi vesicle transport (GO:0048193)	258	175	79.38	+	2.20	5.06E-15	4.66E-13
mRNA transport (GO:0051028)	115	78	35.38	+	2.20	2.13E-07	9.29E-06
tRNA processing (GO:0008033)	118	80	36.30	+	2.20	1.25E-07	5.68E-06
histone modification (GO:0016570)	363	246	111.68	+	2.20	1.21E-20	1.48E-18
endocytic recycling (GO:0032456)	62	42	19.08	+	2.20	1.68E-04	4.04E-03
amide biosynthetic process (GO:0043604)	443	300	136.30	+	2.20	5.63E-25	8.61E-23
telomere organization (GO:0032200)	96	65	29.54	+	2.20	2.25E-06	8.25E-05
positive regulation of intrinsic apoptotic signaling pathway (GO:2001244)	71	48	21.84	+	2.20	4.80E-05	1.33E-03
RNA catabolic process (GO:0006401)	151	102	46.46	+	2.20	2.52E-09	1.42E-07
peptidyl-lysine methylation (GO:0018022)	83	56	25.54	+	2.19	1.22E-05	3.93E-04
protein targeting (GO:0006605)	224	151	68.92	+	2.19	5.35E-13	4.28E-11
positive regulation of transcription initiation from RNA polymerase II promoter (GO:0060261)	46	31	14.15	+	2.19	1.08E-03	2.01E-02
regulation of erythrocyte differentiation (GO:0045646)	49	33	15.08	+	2.19	9.35E-04	1.78E-02
protein deacetylation (GO:0006476)	58	39	17.84	+	2.19	2.66E-04	6.02E-03
RNA phosphodiester bond hydrolysis (GO:0090501)	67	45	20.61	+	2.18	8.02E-05	2.11E-03
proteasomal protein catabolic process (GO:0010498)	356	239	109.53	+	2.18	7.96E-20	9.09E-18
RNA transport (GO:0050658)	143	96	44.00	+	2.18	9.36E-09	4.90E-07
nucleic acid transport (GO:0050657)	143	96	44.00	+	2.18	9.36E-09	4.89E-07
RNA export from nucleus (GO:0006405)	73	49	22.46	+	2.18	4.00E-05	1.13E-03
purine nucleoside triphosphate metabolic process (GO:0009144)	73	49	22.46	+	2.18	4.00E-05	1.13E-03
retrograde transport, endosome to Golgi (GO:0042147)	79	53	24.31	+	2.18	2.00E-05	6.16E-04
protein folding (GO:0006457)	161	108	49.53	+	2.18	1.21E-09	7.18E-08
RNA 3'-end processing (GO:0031123)	91	61	28.00	+	2.18	5.02E-06	1.73E-04
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	136	91	41.84	+	2.17	2.54E-08	1.27E-06
establishment of RNA localization (GO:0051236)	145	97	44.61	+	2.17	1.10E-08	5.64E-07
vacuole organization (GO:0007033)	154	103	47.38	+	2.17	3.28E-09	1.81E-07
regulation of translation (GO:0006417)	371	248	114.14	+	2.17	2.60E-20	3.09E-18
regulation of cell cycle checkpoint (GO:1901976)	39	26	12.00	+	2.17	3.07E-03	4.80E-02
regulation of telomerase activity (GO:0051972)	48	32	14.77	+	2.17	1.31E-03	2.33E-02
'de novo' protein folding (GO:0006458)	39	26	12.00	+	2.17	3.07E-03	4.80E-02
tRNA modification (GO:0006400)	78	52	24.00	+	2.17	2.75E-05	8.12E-04
peptidyl-proline modification (GO:0018208)	39	26	12.00	+	2.17	3.07E-03	4.79E-02
protein K63-linked ubiquitination (GO:0070534)	51	34	15.69	+	2.17	7.43E-04	1.47E-02
RNA destabilization (GO:0050779)	72	48	22.15	+	2.17	5.50E-05	1.51E-03
protein transmembrane transport (GO:0071806)	57	38	17.54	+	2.17	3.69E-04	8.01E-03
regulation of telomere maintenance via telomere lengthening (GO:1904356)	57	38	17.54	+	2.17	3.69E-04	7.99E-03
mitochondrion organization (GO:0007005)	440	293	135.37	+	2.16	1.22E-23	1.73E-21
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	313	208	96.30	+	2.16	4.50E-17	4.63E-15
positive regulation of translation (GO:0045727)	137	91	42.15	+	2.16	4.08E-08	1.97E-06
maintenance of protein location (GO:0045185)	101	67	31.07	+	2.16	2.41E-06	8.80E-05
protein localization to nucleus (GO:0034504)	187	124	57.53	+	2.16	1.46E-10	9.39E-09
regulation of histone methylation (GO:0031060)	92	61	28.31	+	2.16	8.21E-06	2.73E-04
ubiquitin-dependent ERAD pathway (GO:0030433)	80	53	24.61	+	2.15	3.21E-05	9.36E-04
purine ribonucleoside triphosphate metabolic process (GO:0009205)	65	43	20.00	+	2.15	1.52E-04	3.69E-03
nuclear export (GO:0051168)	118	78	36.30	+	2.15	4.28E-07	1.81E-05
purine nucleoside triphosphate biosynthetic process (GO:0009145)	47	31	14.46	+	2.14	1.82E-03	3.10E-02
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	91	60	28.00	+	2.14	1.13E-05	3.68E-04
telomere maintenance (GO:0000723)	91	60	28.00	+	2.14	1.13E-05	3.67E-04
mRNA transcription by RNA polymerase II (GO:0042789)	44	29	13.54	+	2.14	2.09E-03	3.48E-02
energy derivation by oxidation of organic compounds (GO:0015980)	214	141	65.84	+	2.14	8.74E-12	6.47E-10
regulation of mitochondrial membrane potential (GO:0051881)	85	56	26.15	+	2.14	2.24E-05	6.85E-04
protein modification by small protein removal (GO:0070646)	143	94	44.00	+	2.14	3.13E-08	1.54E-06
lymphocyte homeostasis (GO:0002260)	70	46	21.54	+	2.14	1.04E-04	2.63E-03
ERAD pathway (GO:0036503)	96	63	29.54	+	2.13	5.48E-06	1.87E-04
regulation of histone acetylation (GO:0035065)	61	40	18.77	+	2.13	3.52E-04	7.70E-03
mitochondrial transmembrane transport (GO:1990542)	90	59	27.69	+	2.13	1.56E-05	4.91E-04
regulation of mitochondrial membrane permeability (GO:0046902)	58	38	17.84	+	2.13	4.22E-04	8.94E-03
regulation of transcription initiation from RNA polymerase II promoter (GO:0060260)	52	34	16.00	+	2.13	8.55E-04	1.66E-02
negative regulation of ubiquitin-dependent protein catabolic process (GO:2000059)	52	34	16.00	+	2.13	8.55E-04	1.66E-02
transcription by RNA polymerase II (GO:0006366)	179	117	55.07	+	2.12	8.09E-10	4.90E-08
establishment of protein localization to organelle (GO:0072594)	320	209	98.45	+	2.12	1.81E-16	1.79E-14
negative regulation of proteasomal protein catabolic process (GO:1901799)	49	32	15.08	+	2.12	1.43E-03	2.51E-02
purine ribonucleoside triphosphate biosynthetic process (GO:0009206)	46	30	14.15	+	2.12	1.74E-03	2.98E-02
positive regulation of DNA repair (GO:0045739)	111	72	34.15	+	2.11	1.77E-06	6.68E-05
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	165	107	50.77	+	2.11	5.85E-09	3.14E-07
endosome organization (GO:0007032)	54	35	16.61	+	2.11	9.77E-04	1.85E-02
endoplasmic reticulum organization (GO:0007029)	88	57	27.07	+	2.11	2.04E-05	6.26E-04
regulation of chromosome organization (GO:0033044)	207	134	63.69	+	2.10	7.66E-11	5.09E-09
negative regulation of protein ubiquitination (GO:0031397)	85	55	26.15	+	2.10	3.36E-05	9.70E-04
ribonucleoside triphosphate metabolic process (GO:0009199)	68	44	20.92	+	2.10	1.96E-04	4.65E-03
apoptotic mitochondrial changes (GO:0008637)	68	44	20.92	+	2.10	1.96E-04	4.65E-03
modification-dependent macromolecule catabolic process (GO:0043632)	541	350	166.45	+	2.10	1.82E-26	3.08E-24
regulation of protein modification by small protein conjugation or removal (GO:1903320)	252	163	77.53	+	2.10	6.06E-13	4.77E-11
chaperone-mediated protein folding (GO:0061077)	65	42	20.00	+	2.10	3.34E-04	7.35E-03
modification-dependent protein catabolic process (GO:0019941)	531	343	163.37	+	2.10	8.22E-26	1.34E-23
negative regulation of protein modification by small protein conjugation or removal (GO:1903321)	96	62	29.54	+	2.10	1.17E-05	3.78E-04
regulation of cellular amide metabolic process (GO:0034248)	429	277	131.99	+	2.10	4.68E-21	5.95E-19
protein deubiquitination (GO:0016579)	121	78	37.23	+	2.10	8.38E-07	3.42E-05
negative regulation of gene expression, epigenetic (GO:0045814)	56	36	17.23	+	2.09	7.96E-04	1.56E-02
regulation of histone modification (GO:0031056)	193	124	59.38	+	2.09	5.50E-10	3.39E-08
positive regulation of DNA-templated transcription, initiation (GO:2000144)	53	34	16.31	+	2.09	1.35E-03	2.39E-02
endosomal transport (GO:0016197)	212	136	65.23	+	2.09	7.99E-11	5.27E-09
histone methylation (GO:0016571)	92	59	28.31	+	2.08	1.90E-05	5.90E-04
peptide metabolic process (GO:0006518)	484	310	148.91	+	2.08	5.03E-23	6.83E-21
ubiquitin-dependent protein catabolic process (GO:0006511)	520	333	159.99	+	2.08	1.19E-24	1.78E-22
mRNA transcription (GO:0009299)	50	32	15.38	+	2.08	1.62E-03	2.80E-02
nucleobase-containing compound transport (GO:0015931)	188	120	57.84	+	2.07	1.22E-09	7.22E-08
positive regulation of protein dephosphorylation (GO:0035307)	47	30	14.46	+	2.07	2.73E-03	4.38E-02
nucleic acid metabolic process (GO:0090304)	1804	1151	555.03	+	2.07	1.56E-87	1.54E-84
regulation of macroautophagy (GO:0016241)	116	74	35.69	+	2.07	1.87E-06	7.05E-05
nucleocytoplasmic transport (GO:0006913)	226	144	69.53	+	2.07	3.55E-11	2.48E-09
nuclear transport (GO:0051169)	226	144	69.53	+	2.07	3.55E-11	2.47E-09
positive regulation of histone modification (GO:0031058)	118	75	36.30	+	2.07	2.12E-06	7.84E-05
posttranscriptional regulation of gene expression (GO:0010608)	473	300	145.53	+	2.06	7.15E-22	9.39E-20
Golgi organization (GO:0007030)	123	78	37.84	+	2.06	1.46E-06	5.62E-05
import into nucleus (GO:0051170)	112	71	34.46	+	2.06	4.18E-06	1.46E-04
protein methylation (GO:0006479)	131	83	40.30	+	2.06	5.99E-07	2.49E-05
protein alkylation (GO:0008213)	131	83	40.30	+	2.06	5.99E-07	2.48E-05
regulation of mRNA processing (GO:0050684)	150	95	46.15	+	2.06	8.71E-08	4.05E-06
positive regulation of mRNA metabolic process (GO:1903313)	128	81	39.38	+	2.06	1.01E-06	4.02E-05
somatic diversification of immune receptors (GO:0002200)	49	31	15.08	+	2.06	2.22E-03	3.68E-02
ribonucleoside triphosphate biosynthetic process (GO:0009201)	49	31	15.08	+	2.06	2.22E-03	3.67E-02
protein-containing complex disassembly (GO:0032984)	122	77	37.54	+	2.05	1.99E-06	7.40E-05
