




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2021-11-16
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Mus musculus - REFLIST (21988)	upload_1 (8926)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
internal protein amino acid acetylation (GO:0006475)	121	101	49.12	+	2.06	1.45E-07	7.58E-06
internal peptidyl-lysine acetylation (GO:0018393)	121	101	49.12	+	2.06	1.45E-07	7.56E-06
DNA duplex unwinding (GO:0032508)	42	35	17.05	+	2.05	2.26E-03	4.30E-02
positive regulation of telomere maintenance (GO:0032206)	66	55	26.79	+	2.05	1.14E-04	3.23E-03
mitochondrial transport (GO:0006839)	150	125	60.89	+	2.05	6.02E-09	3.78E-07
translation (GO:0006412)	320	266	129.90	+	2.05	1.58E-17	1.88E-15
electron transport chain (GO:0022900)	94	78	38.16	+	2.04	4.29E-06	1.75E-04
ncRNA metabolic process (GO:0034660)	432	358	175.37	+	2.04	4.25E-23	7.69E-21
negative regulation of mitochondrion organization (GO:0010823)	52	43	21.11	+	2.04	8.84E-04	1.98E-02
cellular respiration (GO:0045333)	154	127	62.52	+	2.03	6.06E-09	3.79E-07
regulation of DNA-dependent DNA replication (GO:0090329)	51	42	20.70	+	2.03	8.24E-04	1.87E-02
RNA processing (GO:0006396)	782	643	317.45	+	2.03	1.84E-40	7.64E-38
cellular response to amino acid starvation (GO:0034198)	45	37	18.27	+	2.03	2.05E-03	3.98E-02
mitochondrial transmembrane transport (GO:1990542)	90	74	36.54	+	2.03	1.25E-05	4.56E-04
macroautophagy (GO:0016236)	145	119	58.86	+	2.02	2.34E-08	1.35E-06
regulation of telomere maintenance (GO:0032204)	93	76	37.75	+	2.01	8.20E-06	3.16E-04
retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)	43	35	17.46	+	2.01	2.56E-03	4.78E-02
nucleoside monophosphate biosynthetic process (GO:0009124)	43	35	17.46	+	2.01	2.56E-03	4.78E-02
protein acetylation (GO:0006473)	144	117	58.46	+	2.00	4.37E-08	2.44E-06
nucleotide-excision repair (GO:0006289)	48	39	19.49	+	2.00	1.86E-03	3.65E-02
regulation of mitochondrial membrane permeability (GO:0046902)	58	47	23.55	+	2.00	5.16E-04	1.25E-02
mRNA splicing, via spliceosome (GO:0000398)	208	168	84.44	+	1.99	6.35E-11	4.98E-09
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	208	168	84.44	+	1.99	6.35E-11	4.96E-09
RNA splicing, via transesterification reactions (GO:0000375)	208	168	84.44	+	1.99	6.35E-11	4.93E-09
spliceosomal complex assembly (GO:0000245)	46	37	18.67	+	1.98	2.30E-03	4.36E-02
regulation of TORC1 signaling (GO:1903432)	46	37	18.67	+	1.98	2.30E-03	4.36E-02
RNA splicing (GO:0008380)	332	267	134.77	+	1.98	1.85E-16	2.10E-14
protein insertion into membrane (GO:0051205)	51	41	20.70	+	1.98	1.67E-03	3.37E-02
telomere organization (GO:0032200)	96	77	38.97	+	1.98	1.46E-05	5.24E-04
peptide biosynthetic process (GO:0043043)	341	273	138.43	+	1.97	1.34E-16	1.54E-14
mRNA processing (GO:0006397)	416	333	168.87	+	1.97	5.46E-20	7.61E-18
macromolecule deacylation (GO:0098732)	70	56	28.42	+	1.97	2.32E-04	6.15E-03
protein deacylation (GO:0035601)	70	56	28.42	+	1.97	2.32E-04	6.14E-03
nuclear envelope organization (GO:0006998)	50	40	20.30	+	1.97	1.59E-03	3.21E-02
autophagy (GO:0006914)	257	205	104.33	+	1.96	1.19E-12	1.06E-10
process utilizing autophagic mechanism (GO:0061919)	257	205	104.33	+	1.96	1.19E-12	1.05E-10
negative regulation of cell cycle G2/M phase transition (GO:1902750)	64	51	25.98	+	1.96	4.15E-04	1.03E-02
endosome organization (GO:0007032)	54	43	21.92	+	1.96	1.51E-03	3.07E-02
regulation of erythrocyte differentiation (GO:0045646)	49	39	19.89	+	1.96	2.05E-03	3.98E-02
maintenance of protein location in cell (GO:0032507)	68	54	27.60	+	1.96	2.88E-04	7.50E-03
nuclear-transcribed mRNA catabolic process (GO:0000956)	97	77	39.38	+	1.96	1.60E-05	5.68E-04
protein deacetylation (GO:0006476)	58	46	23.55	+	1.95	1.03E-03	2.21E-02
intracellular protein transmembrane transport (GO:0065002)	53	42	21.52	+	1.95	1.42E-03	2.93E-02
DNA replication (GO:0006260)	178	141	72.26	+	1.95	5.51E-09	3.52E-07
mRNA metabolic process (GO:0016071)	570	451	231.39	+	1.95	5.93E-26	1.26E-23
telomere maintenance (GO:0000723)	91	72	36.94	+	1.95	3.90E-05	1.25E-03
RNA 3'-end processing (GO:0031123)	91	72	36.94	+	1.95	3.90E-05	1.25E-03
histone modification (GO:0016570)	363	287	147.36	+	1.95	6.88E-17	8.03E-15
endocytic recycling (GO:0032456)	62	49	25.17	+	1.95	7.01E-04	1.63E-02
negative regulation of G2/M transition of mitotic cell cycle (GO:0010972)	62	49	25.17	+	1.95	7.01E-04	1.63E-02
regulation of transcription initiation from RNA polymerase II promoter (GO:0060260)	52	41	21.11	+	1.94	1.83E-03	3.62E-02
regulation of release of cytochrome c from mitochondria (GO:0090199)	52	41	21.11	+	1.94	1.83E-03	3.62E-02
negative regulation of histone modification (GO:0031057)	52	41	21.11	+	1.94	1.83E-03	3.61E-02
DNA-dependent DNA replication (GO:0006261)	118	93	47.90	+	1.94	2.70E-06	1.15E-04
vacuole organization (GO:0007033)	154	121	62.52	+	1.94	9.78E-08	5.19E-06
import into nucleus (GO:0051170)	112	88	45.47	+	1.94	6.63E-06	2.61E-04
protein modification by small protein removal (GO:0070646)	143	112	58.05	+	1.93	3.19E-07	1.59E-05
RNA localization (GO:0006403)	166	130	67.39	+	1.93	3.30E-08	1.88E-06
peptidyl-lysine modification (GO:0018205)	272	213	110.42	+	1.93	1.39E-12	1.21E-10
protein localization to nucleus (GO:0034504)	187	146	75.91	+	1.92	5.62E-09	3.55E-07
double-strand break repair via homologous recombination (GO:0000724)	100	78	40.59	+	1.92	2.06E-05	7.07E-04
mRNA export from nucleus (GO:0006406)	59	46	23.95	+	1.92	1.12E-03	2.38E-02
nuclear export (GO:0051168)	118	92	47.90	+	1.92	3.86E-06	1.59E-04
histone lysine methylation (GO:0034968)	68	53	27.60	+	1.92	5.62E-04	1.35E-02
mRNA destabilization (GO:0061157)	68	53	27.60	+	1.92	5.62E-04	1.34E-02
Golgi vesicle transport (GO:0048193)	258	201	104.73	+	1.92	9.72E-12	8.02E-10
positive regulation of chromosome organization (GO:2001252)	104	81	42.22	+	1.92	1.94E-05	6.72E-04
protein import into nucleus (GO:0006606)	108	84	43.84	+	1.92	1.34E-05	4.85E-04
histone deacetylation (GO:0016575)	54	42	21.92	+	1.92	2.13E-03	4.09E-02
protein acylation (GO:0043543)	184	143	74.69	+	1.91	1.22E-08	7.24E-07
protein deubiquitination (GO:0016579)	121	94	49.12	+	1.91	3.44E-06	1.43E-04
positive regulation of histone methylation (GO:0031062)	58	45	23.55	+	1.91	1.46E-03	2.98E-02
protein import (GO:0017038)	156	121	63.33	+	1.91	1.59E-07	8.20E-06
mitochondrion organization (GO:0007005)	440	341	178.62	+	1.91	6.63E-19	8.70E-17
mRNA catabolic process (GO:0006402)	124	96	50.34	+	1.91	3.06E-06	1.28E-04
positive regulation of mRNA catabolic process (GO:0061014)	84	65	34.10	+	1.91	1.26E-04	3.54E-03
RNA metabolic process (GO:0016070)	1251	967	507.84	+	1.90	5.99E-53	3.15E-50
protein transmembrane transport (GO:0071806)	57	44	23.14	+	1.90	1.90E-03	3.71E-02
establishment of protein localization to organelle (GO:0072594)	320	247	129.90	+	1.90	6.31E-14	6.10E-12
vacuolar transport (GO:0007034)	149	115	60.49	+	1.90	3.60E-07	1.77E-05
peptidyl-lysine methylation (GO:0018022)	83	64	33.69	+	1.90	1.62E-04	4.49E-03
protein K48-linked ubiquitination (GO:0070936)	65	50	26.39	+	1.89	8.88E-04	1.99E-02
RNA transport (GO:0050658)	143	110	58.05	+	1.89	8.63E-07	4.00E-05
nucleic acid transport (GO:0050657)	143	110	58.05	+	1.89	8.63E-07	3.99E-05
regulation of macroautophagy (GO:0016241)	116	89	47.09	+	1.89	8.97E-06	3.42E-04
RNA export from nucleus (GO:0006405)	73	56	29.63	+	1.89	4.23E-04	1.05E-02
positive regulation of DNA recombination (GO:0045911)	73	56	29.63	+	1.89	4.23E-04	1.05E-02
negative regulation of response to DNA damage stimulus (GO:2001021)	77	59	31.26	+	1.89	2.93E-04	7.63E-03
positive regulation of DNA repair (GO:0045739)	111	85	45.06	+	1.89	1.66E-05	5.88E-04
DNA-templated transcription, initiation (GO:0006352)	64	49	25.98	+	1.89	1.15E-03	2.43E-02
establishment of RNA localization (GO:0051236)	145	111	58.86	+	1.89	7.31E-07	3.44E-05
nucleocytoplasmic transport (GO:0006913)	226	173	91.74	+	1.89	6.80E-10	4.76E-08
nuclear transport (GO:0051169)	226	173	91.74	+	1.89	6.80E-10	4.74E-08
mRNA transport (GO:0051028)	115	88	46.68	+	1.89	1.15E-05	4.22E-04
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	136	104	55.21	+	1.88	1.93E-06	8.51E-05
recombinational repair (GO:0000725)	102	78	41.41	+	1.88	3.34E-05	1.09E-03
DNA repair (GO:0006281)	450	344	182.68	+	1.88	1.87E-18	2.34E-16
RNA destabilization (GO:0050779)	72	55	29.23	+	1.88	5.43E-04	1.30E-02
B cell activation involved in immune response (GO:0002312)	55	42	22.33	+	1.88	2.36E-03	4.46E-02
protein N-linked glycosylation (GO:0006487)	63	48	25.57	+	1.88	1.50E-03	3.06E-02
RNA phosphodiester bond hydrolysis (GO:0090501)	67	51	27.20	+	1.88	1.02E-03	2.21E-02
protein autoubiquitination (GO:0051865)	71	54	28.82	+	1.87	7.00E-04	1.63E-02
retrograde transport, endosome to Golgi (GO:0042147)	79	60	32.07	+	1.87	3.32E-04	8.48E-03
lysosomal transport (GO:0007041)	116	88	47.09	+	1.87	1.71E-05	6.01E-04
proteasomal protein catabolic process (GO:0010498)	356	270	144.52	+	1.87	2.16E-14	2.14E-12
cytosolic transport (GO:0016482)	136	103	55.21	+	1.87	2.70E-06	1.15E-04
regulation of DNA repair (GO:0006282)	164	124	66.58	+	1.86	2.81E-07	1.40E-05
modification-dependent macromolecule catabolic process (GO:0043632)	541	409	219.62	+	1.86	4.25E-21	6.37E-19
post-Golgi vesicle-mediated transport (GO:0006892)	90	68	36.54	+	1.86	1.41E-04	3.94E-03
nucleobase-containing compound transport (GO:0015931)	188	142	76.32	+	1.86	4.23E-08	2.37E-06
modification-dependent protein catabolic process (GO:0019941)	531	401	215.56	+	1.86	1.08E-20	1.57E-18
RNA catabolic process (GO:0006401)	151	114	61.30	+	1.86	1.09E-06	4.99E-05
regulation of telomere maintenance via telomere lengthening (GO:1904356)	57	43	23.14	+	1.86	2.67E-03	4.96E-02
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	313	236	127.06	+	1.86	1.33E-12	1.17E-10
positive regulation of double-strand break repair (GO:2000781)	65	49	26.39	+	1.86	1.26E-03	2.63E-02
G1/S transition of mitotic cell cycle (GO:0000082)	69	52	28.01	+	1.86	1.18E-03	2.49E-02
regulation of mitochondrion organization (GO:0010821)	138	104	56.02	+	1.86	3.06E-06	1.29E-04
purine nucleoside triphosphate metabolic process (GO:0009144)	73	55	29.63	+	1.86	8.06E-04	1.84E-02
nucleic acid metabolic process (GO:0090304)	1804	1359	732.33	+	1.86	2.65E-71	2.09E-68
protein polyubiquitination (GO:0000209)	231	174	93.77	+	1.86	1.32E-09	9.10E-08
regulation of DNA replication (GO:0006275)	137	103	55.61	+	1.85	3.94E-06	1.62E-04
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	165	124	66.98	+	1.85	4.11E-07	2.00E-05
ubiquitin-dependent protein catabolic process (GO:0006511)	520	390	211.09	+	1.85	9.18E-20	1.25E-17
endosomal transport (GO:0016197)	212	159	86.06	+	1.85	8.81E-09	5.42E-07
phosphatidylinositol biosynthetic process (GO:0006661)	96	72	38.97	+	1.85	1.10E-04	3.16E-03
signal transduction in response to DNA damage (GO:0042770)	124	93	50.34	+	1.85	1.12E-05	4.13E-04
ribonucleoside triphosphate metabolic process (GO:0009199)	68	51	27.60	+	1.85	1.12E-03	2.37E-02
apoptotic mitochondrial changes (GO:0008637)	68	51	27.60	+	1.85	1.12E-03	2.36E-02
regulation of cell cycle G2/M phase transition (GO:1902749)	111	83	45.06	+	1.84	4.38E-05	1.38E-03
energy derivation by oxidation of organic compounds (GO:0015980)	214	160	86.87	+	1.84	1.00E-08	6.08E-07
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	91	68	36.94	+	1.84	2.04E-04	5.52E-03
regulation of translation (GO:0006417)	371	277	150.61	+	1.84	3.09E-14	3.02E-12
cell cycle G1/S phase transition (GO:0044843)	71	53	28.82	+	1.84	9.83E-04	2.14E-02
protein targeting (GO:0006605)	224	167	90.93	+	1.84	5.48E-09	3.51E-07
centrosome cycle (GO:0007098)	82	61	33.29	+	1.83	4.14E-04	1.04E-02
regulation of gene expression, epigenetic (GO:0040029)	113	84	45.87	+	1.83	3.66E-05	1.19E-03
negative regulation of chromosome organization (GO:2001251)	74	55	30.04	+	1.83	8.67E-04	1.96E-02
positive regulation of mitochondrion organization (GO:0010822)	74	55	30.04	+	1.83	8.67E-04	1.95E-02
regulation of double-strand break repair (GO:2000779)	109	81	44.25	+	1.83	5.28E-05	1.65E-03
lymphocyte homeostasis (GO:0002260)	70	52	28.42	+	1.83	1.26E-03	2.63E-02
regulation of double-strand break repair via homologous recombination (GO:0010569)	70	52	28.42	+	1.83	1.26E-03	2.63E-02
amide biosynthetic process (GO:0043604)	443	329	179.84	+	1.83	1.89E-16	2.13E-14
maintenance of protein location (GO:0045185)	101	75	41.00	+	1.83	1.10E-04	3.16E-03
response to ionizing radiation (GO:0010212)	132	98	53.59	+	1.83	1.00E-05	3.74E-04
protein localization to vacuole (GO:0072665)	62	46	25.17	+	1.83	2.69E-03	4.99E-02
regulation of mitochondrial membrane potential (GO:0051881)	85	63	34.51	+	1.83	3.65E-04	9.26E-03
negative regulation of protein ubiquitination (GO:0031397)	85	63	34.51	+	1.83	3.65E-04	9.25E-03
protein methylation (GO:0006479)	131	97	53.18	+	1.82	9.65E-06	3.63E-04
protein alkylation (GO:0008213)	131	97	53.18	+	1.82	9.65E-06	3.62E-04
ERAD pathway (GO:0036503)	96	71	38.97	+	1.82	2.07E-04	5.56E-03
negative regulation of protein modification by small protein conjugation or removal (GO:1903321)	96	71	38.97	+	1.82	2.07E-04	5.55E-03
purine ribonucleoside triphosphate metabolic process (GO:0009205)	65	48	26.39	+	1.82	2.37E-03	4.49E-02
mitotic DNA integrity checkpoint signaling (GO:0044774)	80	59	32.48	+	1.82	6.74E-04	1.58E-02
lysosome organization (GO:0007040)	76	56	30.85	+	1.82	9.80E-04	2.14E-02
mitotic DNA damage checkpoint signaling (GO:0044773)	76	56	30.85	+	1.82	9.80E-04	2.14E-02
peptidyl-threonine phosphorylation (GO:0018107)	76	56	30.85	+	1.82	9.80E-04	2.14E-02
DNA damage checkpoint signaling (GO:0000077)	95	70	38.57	+	1.82	1.96E-04	5.31E-03
lytic vacuole organization (GO:0080171)	76	56	30.85	+	1.82	9.80E-04	2.13E-02
cellular protein catabolic process (GO:0044257)	642	473	260.62	+	1.81	1.08E-22	1.86E-20
regulation of response to DNA damage stimulus (GO:2001020)	262	193	106.36	+	1.81	5.83E-10	4.10E-08
negative regulation of autophagy (GO:0010507)	72	53	29.23	+	1.81	1.43E-03	2.95E-02
protein modification by small protein conjugation or removal (GO:0070647)	693	510	281.32	+	1.81	1.99E-24	3.88E-22
cellular response to DNA damage stimulus (GO:0006974)	688	506	279.29	+	1.81	3.65E-24	7.01E-22
DNA integrity checkpoint signaling (GO:0031570)	102	75	41.41	+	1.81	1.20E-04	3.38E-03
regulation of cellular amide metabolic process (GO:0034248)	429	315	174.15	+	1.81	2.37E-15	2.54E-13
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	105	77	42.62	+	1.81	1.06E-04	3.06E-03
vesicle-mediated transport to the plasma membrane (GO:0098876)	120	88	48.71	+	1.81	4.13E-05	1.31E-03
proteolysis involved in cellular protein catabolic process (GO:0051603)	615	451	249.66	+	1.81	2.16E-21	3.30E-19
protein lipidation (GO:0006497)	86	63	34.91	+	1.80	5.24E-04	1.26E-02
positive regulation of intrinsic apoptotic signaling pathway (GO:2001244)	71	52	28.82	+	1.80	1.85E-03	3.64E-02
transcription by RNA polymerase II (GO:0006366)	179	131	72.66	+	1.80	5.33E-07	2.55E-05
cellular macromolecule catabolic process (GO:0044265)	820	600	332.88	+	1.80	4.00E-28	9.84E-26
positive regulation of DNA metabolic process (GO:0051054)	260	190	105.55	+	1.80	1.28E-09	8.85E-08
phosphatidylinositol metabolic process (GO:0046488)	141	103	57.24	+	1.80	9.42E-06	3.57E-04
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	100	73	40.59	+	1.80	1.94E-04	5.25E-03
regulation of chromosome organization (GO:0033044)	207	151	84.03	+	1.80	7.55E-08	4.06E-06
posttranscriptional regulation of gene expression (GO:0010608)	473	345	192.01	+	1.80	2.50E-16	2.80E-14
chromatin organization (GO:0006325)	521	380	211.50	+	1.80	5.55E-18	6.73E-16
regulation of histone methylation (GO:0031060)	92	67	37.35	+	1.79	4.07E-04	1.02E-02
organelle transport along microtubule (GO:0072384)	77	56	31.26	+	1.79	1.07E-03	2.28E-02
negative regulation of proteolysis involved in cellular protein catabolic process (GO:1903051)	66	48	26.79	+	1.79	2.55E-03	4.76E-02
negative regulation of translation (GO:0017148)	165	120	66.98	+	1.79	1.91E-06	8.45E-05
protein folding (GO:0006457)	161	117	65.36	+	1.79	2.76E-06	1.17E-04
nucleobase-containing compound metabolic process (GO:0006139)	2230	1620	905.27	+	1.79	2.16E-78	2.00E-75
regulation of protein modification by small protein conjugation or removal (GO:1903320)	252	183	102.30	+	1.79	3.59E-09	2.34E-07
ubiquitin-dependent ERAD pathway (GO:0030433)	80	58	32.48	+	1.79	9.34E-04	2.06E-02
translational initiation (GO:0006413)	69	50	28.01	+	1.79	2.24E-03	4.26E-02
protein modification by small protein conjugation (GO:0032446)	554	401	224.90	+	1.78	1.80E-18	2.28E-16
protein catabolic process (GO:0030163)	695	503	282.13	+	1.78	6.23E-23	1.10E-20
regulation of proteasomal protein catabolic process (GO:0061136)	184	133	74.69	+	1.78	7.15E-07	3.37E-05
protein localization to organelle (GO:0033365)	681	492	276.45	+	1.78	2.31E-22	3.83E-20
cellular macromolecule biosynthetic process (GO:0034645)	1206	871	489.57	+	1.78	1.58E-39	6.22E-37
double-strand break repair (GO:0006302)	187	135	75.91	+	1.78	6.32E-07	3.01E-05
intracellular protein transport (GO:0006886)	640	461	259.81	+	1.77	9.11E-21	1.33E-18
regulation of protein ubiquitination (GO:0031396)	218	157	88.50	+	1.77	7.87E-08	4.22E-06
positive regulation of response to DNA damage stimulus (GO:2001022)	150	108	60.89	+	1.77	8.75E-06	3.36E-04
positive regulation of autophagy (GO:0010508)	150	108	60.89	+	1.77	8.75E-06	3.35E-04
protein ubiquitination (GO:0016567)	507	365	205.82	+	1.77	1.19E-16	1.37E-14
macromolecule biosynthetic process (GO:0009059)	1220	878	495.26	+	1.77	1.86E-39	7.15E-37
protein localization to endoplasmic reticulum (GO:0070972)	71	51	28.82	+	1.77	2.51E-03	4.69E-02
negative regulation of cellular amide metabolic process (GO:0034249)	188	135	76.32	+	1.77	6.68E-07	3.16E-05
histone methylation (GO:0016571)	92	66	37.35	+	1.77	5.53E-04	1.33E-02
regulation of TOR signaling (GO:0032006)	106	76	43.03	+	1.77	2.05E-04	5.52E-03
macromolecule methylation (GO:0043414)	236	169	95.80	+	1.76	2.79E-08	1.60E-06
ATP metabolic process (GO:0046034)	176	126	71.45	+	1.76	1.98E-06	8.71E-05
heterocycle metabolic process (GO:0046483)	2364	1691	959.66	+	1.76	1.18E-78	1.17E-75
intracellular transport (GO:0046907)	1273	910	516.77	+	1.76	3.47E-40	1.40E-37
lipoprotein biosynthetic process (GO:0042158)	91	65	36.94	+	1.76	7.04E-04	1.63E-02
response to UV (GO:0009411)	149	106	60.49	+	1.75	1.49E-05	5.35E-04
spindle assembly (GO:0051225)	90	64	36.54	+	1.75	8.99E-04	2.00E-02
positive regulation of mRNA metabolic process (GO:1903313)	128	91	51.96	+	1.75	6.54E-05	2.01E-03
macromolecule catabolic process (GO:0009057)	916	651	371.85	+	1.75	5.03E-28	1.15E-25
positive regulation of macroautophagy (GO:0016239)	76	54	30.85	+	1.75	2.48E-03	4.65E-02
regulation of histone modification (GO:0031056)	193	137	78.35	+	1.75	8.80E-07	4.06E-05
regulation of proteolysis involved in cellular protein catabolic process (GO:1903050)	217	154	88.09	+	1.75	1.79E-07	9.23E-06
intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630)	79	56	32.07	+	1.75	1.63E-03	3.30E-02
DNA metabolic process (GO:0006259)	649	460	263.46	+	1.75	8.59E-20	1.18E-17
peptide metabolic process (GO:0006518)	484	343	196.48	+	1.75	4.84E-15	5.09E-13
microtubule organizing center organization (GO:0031023)	96	68	38.97	+	1.74	5.26E-04	1.27E-02
positive regulation of translation (GO:0045727)	137	97	55.61	+	1.74	4.46E-05	1.40E-03
