gene_id	sumUMI	CPM	type	biotype	zScore	pValue	calls_pValue	cellTypeName	cellTypeId
ENSMUSG00000000435	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000439	9	8.08174414814376	genic	protein_coding	1.07858412135473	0.140386581472757	absent	B-cell	CL:0000236
ENSMUSG00000000440	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000441	26	23.3472608724153	genic	protein_coding	2.10666329250021	0.0175733881035509	present	B-cell	CL:0000236
ENSMUSG00000000486	316	283.759016757048	genic	protein_coding	4.52710382737095	2.98987820267698e-06	present	B-cell	CL:0000236
ENSMUSG00000000489	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000530	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000531	3	2.69391471604792	genic	protein_coding	0.013931219778755	0.494442427181194	absent	B-cell	CL:0000236
ENSMUSG00000000532	8	7.18377257612778	genic	protein_coding	0.964441896694177	0.167412212806512	absent	B-cell	CL:0000236
ENSMUSG00000000538	1	0.897971572015973	genic	protein_coding	-1.05072168179722	0.853306782524676	absent	B-cell	CL:0000236
ENSMUSG00000000544	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000552	16	14.3675451522556	genic	protein_coding	1.63616308952464	0.0509027295554285	absent	B-cell	CL:0000236
ENSMUSG00000000555	1	0.897971572015973	genic	protein_coding	-1.05072168179722	0.853306782524676	absent	B-cell	CL:0000236
ENSMUSG00000000560	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000561	24	21.5513177283834	genic	protein_coding	2.02909479827015	0.0212243178151078	present	B-cell	CL:0000236
ENSMUSG00000000562	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000563	282	253.227983308504	genic	protein_coding	4.41678746174092	5.00893227456049e-06	present	B-cell	CL:0000236
ENSMUSG00000000567	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000568	46	41.3066923127348	genic	protein_coding	2.65957194399837	0.00391200091016465	present	B-cell	CL:0000236
ENSMUSG00000000579	49	44.0006070287827	genic	protein_coding	2.7207979120888	0.00325622804466574	present	B-cell	CL:0000236
ENSMUSG00000000581	88	79.0214983374056	genic	protein_coding	3.28821543008065	0.000504123278607482	present	B-cell	CL:0000236
ENSMUSG00000000594	394	353.800799374293	genic	protein_coding	4.7408932510141	1.06389012869794e-06	present	B-cell	CL:0000236
ENSMUSG00000000600	238	213.717234139802	genic	protein_coding	4.25239472335113	1.05748324929656e-05	present	B-cell	CL:0000236
ENSMUSG00000000605	40	35.9188628806389	genic	protein_coding	2.52413020625848	0.00579924801938027	present	B-cell	CL:0000236
ENSMUSG00000000606	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000617	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000627	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000628	12	10.7756588641917	genic	protein_coding	1.35737360543968	0.0873312652512056	absent	B-cell	CL:0000236
ENSMUSG00000000631	20	17.9594314403195	genic	protein_coding	1.85240901342802	0.0319835559900289	present	B-cell	CL:0000236
ENSMUSG00000000632	2	1.79594314403195	genic	protein_coding	-0.379000488966751	0.647656249629285	absent	B-cell	CL:0000236
ENSMUSG00000000673	68	61.0620668970862	genic	protein_coding	3.03835611923859	0.00118936332961621	present	B-cell	CL:0000236
ENSMUSG00000000682	4088	3670.9077864013	genic	protein_coding	7.00803802973938	1.20841562140874e-12	present	B-cell	CL:0000236
ENSMUSG00000000686	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000690	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000693	1	0.897971572015973	genic	protein_coding	-1.05072168179722	0.853306782524676	absent	B-cell	CL:0000236
ENSMUSG00000000701	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000706	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000708	14	12.5716020082236	genic	protein_coding	1.50675930797626	0.0659361816796203	absent	B-cell	CL:0000236
ENSMUSG00000000711	14	12.5716020082236	genic	protein_coding	1.50675930797626	0.0659361816796203	absent	B-cell	CL:0000236
ENSMUSG00000000724	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000730	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000731	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000732	91	81.7154130534536	genic	protein_coding	3.32070189661276	0.000448956941161442	present	B-cell	CL:0000236
ENSMUSG00000000738	43	38.6127775966868	genic	protein_coding	2.59421535184518	0.0047403541219133	present	B-cell	CL:0000236
ENSMUSG00000000739	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000740	3269	2935.46906892022	genic	protein_coding	6.79137716734378	5.55340639914867e-12	present	B-cell	CL:0000236
ENSMUSG00000000743	87	78.1235267653897	genic	protein_coding	3.27714000857357	0.000524321783377853	present	B-cell	CL:0000236
ENSMUSG00000000751	62	55.6742374649903	genic	protein_coding	2.94883816616261	0.00159485479116878	present	B-cell	CL:0000236
ENSMUSG00000000753	1	0.897971572015973	genic	protein_coding	-1.05072168179722	0.853306782524676	absent	B-cell	CL:0000236
ENSMUSG00000000759	14	12.5716020082236	genic	protein_coding	1.50675930797626	0.0659361816796203	absent	B-cell	CL:0000236
ENSMUSG00000000766	2	1.79594314403195	genic	protein_coding	-0.379000488966751	0.647656249629285	absent	B-cell	CL:0000236
ENSMUSG00000000776	31	27.8371187324952	genic	protein_coding	2.27711697333214	0.0113896206872058	present	B-cell	CL:0000236
ENSMUSG00000000782	2	1.79594314403195	genic	protein_coding	-0.379000488966751	0.647656249629285	absent	B-cell	CL:0000236
ENSMUSG00000000787	60	53.8782943209584	genic	protein_coding	2.91706191500399	0.00176672812425511	present	B-cell	CL:0000236
ENSMUSG00000000791	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000792	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000794	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000804	15	13.4695735802396	genic	protein_coding	1.57361952934306	0.0577877177815308	absent	B-cell	CL:0000236
ENSMUSG00000000805	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000811	3	2.69391471604792	genic	protein_coding	0.013931219778755	0.494442427181194	absent	B-cell	CL:0000236
ENSMUSG00000000817	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000823	16	14.3675451522556	genic	protein_coding	1.63616308952464	0.0509027295554285	absent	B-cell	CL:0000236
ENSMUSG00000000826	66	59.2661237530542	genic	protein_coding	3.00942594599569	0.00130870938955657	present	B-cell	CL:0000236
ENSMUSG00000000827	45	40.4087207407188	genic	protein_coding	2.63827243091903	0.00416648041707185	present	B-cell	CL:0000236
ENSMUSG00000000838	44	39.5107491687028	genic	protein_coding	2.61649423725018	0.00444189319558057	present	B-cell	CL:0000236
ENSMUSG00000000861	338	303.514391341399	genic	protein_coding	4.59232707396717	2.19165339544556e-06	present	B-cell	CL:0000236
ENSMUSG00000000869	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000876	13	11.6736304362077	genic	protein_coding	1.43494209966975	0.0756517988021642	absent	B-cell	CL:0000236
ENSMUSG00000000881	2	1.79594314403195	genic	protein_coding	-0.379000488966751	0.647656249629285	absent	B-cell	CL:0000236
ENSMUSG00000000884	5	4.48985786007987	genic	protein_coding	0.508966627767091	0.305387808136398	absent	B-cell	CL:0000236
ENSMUSG00000000889	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000901	1	0.897971572015973	genic	protein_coding	-1.05072168179722	0.853306782524676	absent	B-cell	CL:0000236
ENSMUSG00000000902	109	97.8789013497411	genic	protein_coding	3.49561116613839	0.000236488693776976	present	B-cell	CL:0000236
ENSMUSG00000000903	585	525.313369629344	genic	protein_coding	5.12393621238599	1.49611123766326e-07	present	B-cell	CL:0000236
ENSMUSG00000000915	62	55.6742374649903	genic	protein_coding	2.94883816616261	0.00159485479116878	present	B-cell	CL:0000236
ENSMUSG00000000916	11	9.8776872921757	genic	protein_coding	1.27305185158925	0.101499821424961	absent	B-cell	CL:0000236
ENSMUSG00000000934	3	2.69391471604792	genic	protein_coding	0.013931219778755	0.494442427181194	absent	B-cell	CL:0000236
ENSMUSG00000000938	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000942	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000948	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000957	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000000958	2	1.79594314403195	genic	protein_coding	-0.379000488966751	0.647656249629285	absent	B-cell	CL:0000236
ENSMUSG00000000959	58	52.0823511769264	genic	protein_coding	2.88420829982807	0.00196199552384021	present	B-cell	CL:0000236
ENSMUSG00000000976	66	59.2661237530542	genic	protein_coding	3.00942594599569	0.00130870938955657	present	B-cell	CL:0000236
ENSMUSG00000000982	2	1.79594314403195	genic	protein_coding	-0.379000488966751	0.647656249629285	absent	B-cell	CL:0000236
ENSMUSG00000000983	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000001014	3	2.69391471604792	genic	protein_coding	0.013931219778755	0.494442427181194	absent	B-cell	CL:0000236
ENSMUSG00000001016	83	74.5316404773258	genic	protein_coding	3.23152740936839	0.000615652571048412	present	B-cell	CL:0000236
ENSMUSG00000001017	47	42.2046638847507	genic	protein_coding	2.68041336733449	0.00367656475195277	present	B-cell	CL:0000236
ENSMUSG00000001018	74	66.449896329182	genic	protein_coding	3.1202997397882	0.000903335484767751	present	B-cell	CL:0000236
ENSMUSG00000001020	4	3.59188628806389	genic	protein_coding	0.292720703863713	0.384867821667797	absent	B-cell	CL:0000236
ENSMUSG00000001021	2	1.79594314403195	genic	protein_coding	-0.379000488966751	0.647656249629285	absent	B-cell	CL:0000236
ENSMUSG00000001023	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000001025	123	110.450503357965	genic	protein_coding	3.61271244297206	0.000151505336540016	present	B-cell	CL:0000236
ENSMUSG00000001027	7	6.28580100411181	genic	protein_coding	0.835038115145794	0.201848124177974	absent	B-cell	CL:0000236
ENSMUSG00000001029	174	156.247053530779	genic	protein_coding	3.94886120140404	3.92619315033556e-05	present	B-cell	CL:0000236
ENSMUSG00000001034	6	5.38782943209584	genic	protein_coding	0.685652412609219	0.24646616093345	absent	B-cell	CL:0000236
ENSMUSG00000001036	3	2.69391471604792	genic	protein_coding	0.013931219778755	0.494442427181194	absent	B-cell	CL:0000236
ENSMUSG00000001039	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000001052	21	18.8574030123354	genic	protein_coding	1.89969101672176	0.0287368399575633	present	B-cell	CL:0000236
ENSMUSG00000001053	32	28.7350903045111	genic	protein_coding	2.30788428235511	0.0105027867475492	present	B-cell	CL:0000236
ENSMUSG00000001054	35	31.4290050205591	genic	protein_coding	2.3947264247101	0.00831638514289249	present	B-cell	CL:0000236
ENSMUSG00000001056	128	114.940361218045	genic	protein_coding	3.65132666801604	0.000130444574078497	present	B-cell	CL:0000236
ENSMUSG00000001062	30	26.9391471604792	genic	protein_coding	2.24534072217353	0.012373133848624	present	B-cell	CL:0000236
ENSMUSG00000001065	8	7.18377257612778	genic	protein_coding	0.964441896694177	0.167412212806512	absent	B-cell	CL:0000236
ENSMUSG00000001076	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000001082	42	37.7148060246709	genic	protein_coding	2.57141220955223	0.00506423456305465	present	B-cell	CL:0000236
ENSMUSG00000001089	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000001095	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000001098	4	3.59188628806389	genic	protein_coding	0.292720703863713	0.384867821667797	absent	B-cell	CL:0000236
ENSMUSG00000001100	22	19.7553745843514	genic	protein_coding	1.94477304441972	0.0259011498671204	present	B-cell	CL:0000236
ENSMUSG00000001103	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000001105	101	90.6951287736133	genic	protein_coding	3.42174007751431	0.00031110882677063	present	B-cell	CL:0000236
ENSMUSG00000001119	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000001120	4	3.59188628806389	genic	protein_coding	0.292720703863713	0.384867821667797	absent	B-cell	CL:0000236
ENSMUSG00000001123	89	79.9194699094216	genic	protein_coding	3.29916570290365	0.000484863256642619	present	B-cell	CL:0000236
ENSMUSG00000001127	36	32.326976592575	genic	protein_coding	2.42202650701565	0.00771711234352879	present	B-cell	CL:0000236
ENSMUSG00000001128	21	18.8574030123354	genic	protein_coding	1.89969101672176	0.0287368399575633	present	B-cell	CL:0000236
ENSMUSG00000001131	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000001134	31	27.8371187324952	genic	protein_coding	2.27711697333214	0.0113896206872058	present	B-cell	CL:0000236
ENSMUSG00000001138	12	10.7756588641917	genic	protein_coding	1.35737360543968	0.0873312652512056	absent	B-cell	CL:0000236
ENSMUSG00000001143	52	46.6945217448306	genic	protein_coding	2.77838448533068	0.00273149668100104	present	B-cell	CL:0000236
ENSMUSG00000001150	19	17.0614598683035	genic	protein_coding	1.80270125459046	0.0357175725279982	present	B-cell	CL:0000236
ENSMUSG00000001151	24	21.5513177283834	genic	protein_coding	2.02909479827015	0.0212243178151078	present	B-cell	CL:0000236
ENSMUSG00000001155	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000001156	5	4.48985786007987	genic	protein_coding	0.508966627767091	0.305387808136398	absent	B-cell	CL:0000236
ENSMUSG00000001157	57	51.1843796049105	genic	protein_coding	2.86735415616643	0.00206959765965369	present	B-cell	CL:0000236
ENSMUSG00000001158	147	132.001821086348	genic	protein_coding	3.78545081366477	7.67150901475746e-05	present	B-cell	CL:0000236
ENSMUSG00000001166	8	7.18377257612778	genic	protein_coding	0.964441896694177	0.167412212806512	absent	B-cell	CL:0000236
ENSMUSG00000001168	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000001173	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000001175	1031	925.808690748468	genic	protein_coding	5.67309233708981	7.01212934329588e-09	present	B-cell	CL:0000236
ENSMUSG00000001211	31	27.8371187324952	genic	protein_coding	2.27711697333214	0.0113896206872058	present	B-cell	CL:0000236
ENSMUSG00000001225	1	0.897971572015973	genic	protein_coding	-1.05072168179722	0.853306782524676	absent	B-cell	CL:0000236
ENSMUSG00000001227	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000001228	5	4.48985786007987	genic	protein_coding	0.508966627767091	0.305387808136398	absent	B-cell	CL:0000236
ENSMUSG00000001229	18	16.1634882962875	genic	protein_coding	1.75030531418519	0.0400328222108551	present	B-cell	CL:0000236
ENSMUSG00000001240	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000001247	2	1.79594314403195	genic	protein_coding	-0.379000488966751	0.647656249629285	absent	B-cell	CL:0000236
ENSMUSG00000001248	67	60.1640953250702	genic	protein_coding	3.02399898503307	0.00124728637742275	present	B-cell	CL:0000236
ENSMUSG00000001249	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000001260	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000001270	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000001280	22	19.7553745843514	genic	protein_coding	1.94477304441972	0.0259011498671204	present	B-cell	CL:0000236
ENSMUSG00000001281	136	122.124133794172	genic	protein_coding	3.71007731206905	0.000103597982051886	present	B-cell	CL:0000236
ENSMUSG00000001285	43	38.6127775966868	genic	protein_coding	2.59421535184518	0.0047403541219133	present	B-cell	CL:0000236
ENSMUSG00000001288	1	0.897971572015973	genic	protein_coding	-1.05072168179722	0.853306782524676	absent	B-cell	CL:0000236
ENSMUSG00000001289	1046	939.278264328708	genic	protein_coding	5.68709001184792	6.46111773677133e-09	present	B-cell	CL:0000236
ENSMUSG00000001300	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000001305	20	17.9594314403195	genic	protein_coding	1.85240901342802	0.0319835559900289	present	B-cell	CL:0000236
ENSMUSG00000001313	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000001323	3	2.69391471604792	genic	protein_coding	0.013931219778755	0.494442427181194	absent	B-cell	CL:0000236
ENSMUSG00000001333	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000001334	8	7.18377257612778	genic	protein_coding	0.964441896694177	0.167412212806512	absent	B-cell	CL:0000236
ENSMUSG00000001348	278	249.636097020441	genic	protein_coding	4.40294310009287	5.33960908286303e-06	present	B-cell	CL:0000236
ENSMUSG00000001349	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000001366	33	29.6330618765271	genic	protein_coding	2.33770475316522	0.00970128471830821	present	B-cell	CL:0000236
ENSMUSG00000001376	18	16.1634882962875	genic	protein_coding	1.75030531418519	0.0400328222108551	present	B-cell	CL:0000236
ENSMUSG00000001380	20	17.9594314403195	genic	protein_coding	1.85240901342802	0.0319835559900289	present	B-cell	CL:0000236
ENSMUSG00000001383	207	185.880115407306	genic	protein_coding	4.11715655431985	1.91787762681269e-05	present	B-cell	CL:0000236
ENSMUSG00000001403	0	0	genic	protein_coding	NA	NA	absent	B-cell	CL:0000236
ENSMUSG00000001415	23	20.6533461563674	genic	protein_coding	1.98785075116791	0.0234140994389051	present	B-cell	CL:0000236
ENSMUSG00000001416	139	124.81804851022	genic	protein_coding	3.7312219072624	9.52766399535628e-05	present	B-cell	CL:0000236
ENSMUSG00000001418	92	82.6133846254695	genic	protein_coding	3.33129313682884	0.000432217606823446	present	B-cell	CL:0000236
ENSMUSG00000001419	2	1.79594314403195	genic	protein_coding	-0.379000488966751	0.647656249629285	absent	B-cell	CL:0000236
